GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
51105,Lee County,29.169417653758405,8.941582995567604,63.88248307910489,117.5,Virginia,2020,21982.0,104.0,38529.0,47.6
51107,Loudoun County,61.20464955445651,11.587474119102597,38.5840272806399,4558.0,Virginia,2020,432085.0,811.0,153716.0,189.9
51109,Louisa County,18.57007437582368,4.600055470726908,75.45622398606525,1423.5,Virginia,2020,40116.0,1042.0,68838.0,85.10000000000001
51111,Lunenburg County,23.427143707297063,3.698441573476016,80.4010895054862,183.5,Virginia,2020,12031.0,92.0,44852.0,55.40000000000001
51113,Madison County,20.53718224445616,4.606351190955595,69.97335679977742,161.25,Virginia,2020,14000.0,86.0,67527.0,83.4
51115,Mathews County,20.26675303030303,4.899484343434343,40.58598484848485,72.75,Virginia,2020,8490.0,34.0,69978.0,86.5
51117,Mecklenburg County,27.485958335582893,4.571850205168003,66.94530263267757,421.75,Virginia,2020,30508.0,462.0,48013.0,59.3
51119,Middlesex County,24.987529130379457,4.423955161612846,54.01163636222101,186.5,Virginia,2020,10943.0,278.0,62710.0,77.5
51121,Montgomery County,46.53137226425639,10.696478886224291,47.03944329881923,937.25,Virginia,2020,98915.0,174.0,57752.0,71.4
51125,Nelson County,20.284968454394445,6.60603912804426,60.41885402652316,144.5,Virginia,2020,14652.0,-45.0,61224.0,75.7
51127,New Kent County,29.07476461070471,7.648951177853801,61.95395542938943,255.0,Virginia,2020,24986.0,937.0,102920.0,127.2
51131,Northampton County,30.87084234480562,6.630576094187695,65.15079666999887,189.5,Virginia,2020,11900.0,3.0,51059.0,63.1
51133,Northumberland County,17.063147819723326,3.544596909988205,52.16428424107578,121.5,Virginia,2020,12302.0,369.0,63255.0,78.2
51135,Nottoway County,40.445224539070445,7.324075725559561,51.98069008737112,208.0,Virginia,2020,15559.0,70.0,46442.0,57.40000000000001
51137,Orange County,24.681214418757857,4.270177418911461,62.99158103814936,495.25,Virginia,2020,37991.0,853.0,94547.0,116.8
51139,Page County,33.97654596933762,9.46963119588052,55.46093720517126,164.75,Virginia,2020,23750.0,100.0,53449.0,66.0
51141,Patrick County,10.715370041915648,4.235013684850442,59.63389719287536,115.0,Virginia,2020,17643.0,165.0,46963.0,58.0
51143,Pittsylvania County,20.781368049744096,5.862189665164997,59.13401099363029,435.75,Virginia,2020,59952.0,286.0,52006.0,64.3
51145,Powhatan County,34.60732411974422,7.551353269021385,51.25441916321989,199.25,Virginia,2020,31489.0,364.0,99854.0,123.4
51147,Prince Edward County,27.476128016501697,7.296666528706885,50.19561792309557,215.75,Virginia,2020,21927.0,24.0,51239.0,63.3
51149,Prince George County,43.82996925020677,9.484018211719384,43.33082098036026,368.5,Virginia,2020,43134.0,79.0,79710.0,98.5
51153,Prince William County,55.25279948294711,12.50130449279052,36.30782092347087,3035.0,Virginia,2020,486943.0,-1941.0,116354.0,143.8
51155,Pulaski County,27.5629239343504,6.821912046859127,72.10583618297467,327.5,Virginia,2020,33706.0,163.0,53111.0,65.60000000000001
51157,Rappahannock County,31.427169066783907,5.424477985209235,60.58168177308802,52.5,Virginia,2020,7502.0,93.0,80098.0,99.0
51159,Richmond County,21.016886837121213,4.932083874458875,63.76521915584416,47.25,Virginia,2020,9080.0,80.0,53959.0,66.7
51161,Roanoke County,42.61883551681052,10.78019352843213,39.34035308621222,719.75,Virginia,2020,96914.0,711.0,73438.0,90.7
51163,Rockbridge County,36.74732705048376,9.37930891718902,52.73902411647999,225.5,Virginia,2020,22593.0,185.0,59252.0,73.2
51165,Rockingham County,31.652072323835057,7.879649118352884,51.12089617551029,789.5,Virginia,2020,85397.0,1037.0,72392.0,89.5
51167,Russell County,20.97847338644322,8.049839084540881,102.62398745601902,406.5,Virginia,2020,25448.0,81.0,45254.0,55.90000000000001
51169,Scott County,39.16061295426704,10.151266214100994,66.9558323125085,74.0,Virginia,2020,21476.0,229.0,42894.0,53.0
51171,Shenandoah County,32.05494415336716,7.799216358369701,43.777268066698696,418.0,Virginia,2020,44968.0,282.0,65308.0,80.7
51173,Smyth County,28.55475879539032,7.148852392665135,134.50092088463796,139.5,Virginia,2020,29449.0,145.0,42303.0,52.3
51175,Southampton County,22.95563640074156,6.473781871414709,64.8337385635241,95.0,Virginia,2020,17932.0,38.0,57965.0,71.60000000000001
51177,Spotsylvania County,38.7364531704368,9.421068735293218,44.75766585543279,929.5,Virginia,2020,146688.0,2373.0,100162.0,123.8
51179,Stafford County,53.13043814432873,8.739972335009538,44.18217807841351,847.0,Virginia,2020,163380.0,984.0,116569.0,144.0
51181,Surry County,37.6330880260616,6.604132681908935,76.35706341393526,111.5,Virginia,2020,6527.0,30.0,61358.0,75.8
51183,Sussex County,25.43552319053044,7.291410410367217,54.93765457864332,100.25,Virginia,2020,10680.0,-76.0,54282.0,67.10000000000001
51185,Tazewell County,28.25395380886589,5.856119575323865,60.357479517106114,125.75,Virginia,2020,39821.0,176.0,40728.0,50.3
51187,Warren County,38.438724848941206,8.386431597593523,53.58443645933855,399.0,Virginia,2020,41440.0,488.0,73546.0,90.9
51191,Washington County,40.3541560008844,10.33869384261996,68.74683998053361,373.25,Virginia,2020,53958.0,547.0,54223.0,67.0
51193,Westmoreland County,22.66138094789526,6.105020239119569,43.40433722015867,109.0,Virginia,2020,18712.0,92.0,59959.0,74.10000000000001
51195,Wise County,43.37627914051013,9.8040267337763,66.07461919581885,120.25,Virginia,2020,35421.0,8.0,41994.0,51.90000000000001
51197,Wythe County,30.124902631659484,10.378216402867274,61.53416462727871,295.25,Virginia,2020,28111.0,152.0,51206.0,63.3
51199,York County,60.275635495611255,13.500423917285936,38.77288432667676,617.0,Virginia,2020,71341.0,106.0,97500.0,120.5
51510,Alexandria city,105.16726377273535,18.27836302346089,30.19847586118741,1314.25,Virginia,2020,155525.0,-1195.0,100877.0,124.7
51520,Bristol city,32.03658123314116,11.581547045075895,64.09389743216798,187.75,Virginia,2020,16975.0,21.0,41272.0,51.0
51530,Buena Vista city,32.97209932245277,9.3364776645768,47.12293708845433,24.75,Virginia,2020,6591.0,-10.0,47144.0,58.3
51540,Charlottesville city,38.305984385033234,10.367245372533764,45.92000978373908,274.25,Virginia,2020,45373.0,-636.0,61255.0,75.7
51550,Chesapeake city,53.91219128084414,12.261592102378234,45.04362688745025,1412.75,Virginia,2020,252488.0,264.0,87057.0,107.6
51570,Colonial Heights city,45.310192388687696,13.600422940080753,30.15919271700521,152.0,Virginia,2020,18294.0,108.0,59455.0,73.5
51580,Covington city,30.7086118666937,5.675871912631809,36.06160580582767,40.5,Virginia,2020,5679.0,-34.0,43075.0,53.2
51590,Danville city,42.756117879672935,14.693481745015458,45.8467478112359,230.0,Virginia,2020,42229.0,196.0,37652.0,46.5
51595,Emporia city,31.73300524076712,12.000013412749174,50.72499321646268,71.5,Virginia,2020,5481.0,-78.0,41610.0,51.40000000000001
51600,Fairfax city,76.18177924859302,16.988085428419133,26.66340006676928,367.25,Virginia,2020,24835.0,74.0,107334.0,132.6
51610,Falls Church city,75.67620151039586,18.73388043026421,29.435261970916592,163.25,Virginia,2020,14586.0,-36.0,142430.0,176.0
51620,Franklin city,35.95369824530309,10.602415130568357,50.51893536570956,30.5,Virginia,2020,8247.0,143.0,46460.0,57.40000000000001
51630,Fredericksburg city,59.5797202310849,13.188475094699251,35.28844273250639,389.75,Virginia,2020,28757.0,162.0,77437.0,95.7
51640,Galax city,20.150530067259464,8.121880458724187,56.46147339749854,45.25,Virginia,2020,6730.0,105.0,42023.0,51.90000000000001
51650,Hampton city,69.79171906933504,14.566702010526626,41.61236933644975,1045.5,Virginia,2020,138037.0,166.0,57662.0,71.3
51660,Harrisonburg city,42.652402882186095,13.000313988597512,44.2227447900407,401.0,Virginia,2020,51158.0,-684.0,50250.0,62.1
51670,Hopewell city,55.23076759883323,12.501996055792006,35.05981185002449,122.25,Virginia,2020,22962.0,-144.0,47263.0,58.40000000000001
51678,Lexington city,32.73649275362319,7.822506521739131,46.13840579710145,19.5,Virginia,2020,7457.0,13.0,53400.0,66.0
51680,Lynchburg city,54.198834368178815,14.544039638291975,37.87120668480132,623.0,Virginia,2020,79287.0,-28.0,52127.0,64.4
51683,Manassas city,60.35132221096562,12.322153808309515,31.52138707224993,419.5,Virginia,2020,42642.0,-551.0,100530.0,124.2
51685,Manassas Park city,44.84719169893741,12.691993754688486,33.0845699462121,118.5,Virginia,2020,16703.0,-391.0,87255.0,107.8
51690,Martinsville city,32.64660709912894,8.99470139553429,49.7241632928475,62.75,Virginia,2020,13725.0,226.0,38571.0,47.7
51700,Newport News city,96.3908256325165,14.37266842352732,40.758158446904005,1166.5,Virginia,2020,184306.0,-1152.0,58303.0,72.0
51710,Norfolk city,77.78904925953236,15.086340585230964,38.425310787787446,1820.0,Virginia,2020,232995.0,-2892.0,56951.0,70.4
51720,Norton city,31.358497585008266,9.712895664087686,65.53679042973678,26.75,Virginia,2020,3609.0,16.0,38316.0,47.3
51730,Petersburg city,38.116635526455866,10.925951345723902,36.79896714547385,100.5,Virginia,2020,33394.0,-6.0,40682.0,50.3
51735,Poquoson city,80.77848524637128,10.701865052839318,37.40493697478992,25.25,Virginia,2020,12582.0,8.0,105525.0,130.4
51740,Portsmouth city,46.23501708270287,11.147767974208833,44.34394346155472,743.0,Virginia,2020,97029.0,-596.0,53618.0,66.3
51750,Radford city,51.580452960353,12.988228369212994,36.100784549632905,67.0,Virginia,2020,16738.0,168.0,48898.0,60.40000000000001
51760,Richmond city,130.66495080440302,17.786133526796913,33.761482044290844,1320.75,Virginia,2020,229395.0,892.0,52011.0,64.3
51770,Roanoke city,44.44701194778701,11.013934970155471,41.8690813319002,849.25,Virginia,2020,97847.0,-714.0,47545.0,58.8
51775,Salem city,41.801221605015286,13.344222552008608,38.14239676252261,168.5,Virginia,2020,25523.0,342.0,60740.0,75.10000000000001
51790,Staunton city,31.16747008737872,7.181848250852884,50.6303786350374,256.25,Virginia,2020,25904.0,315.0,54508.0,67.4
51800,Suffolk city,38.7574358327176,9.10694596920473,46.12931460238223,641.5,Virginia,2020,98537.0,1977.0,78090.0,96.5
51810,Virginia Beach city,95.27922336451088,15.757934386244278,39.791042770945374,3127.75,Virginia,2020,455618.0,-4754.0,81364.0,100.5
51820,Waynesboro city,40.04429753625571,10.907157788909034,42.2261976725927,130.0,Virginia,2020,22808.0,154.0,54106.0,66.9
51830,Williamsburg city,57.49441477582659,11.489867919151791,40.70767478248544,195.5,Virginia,2020,15909.0,266.0,61750.0,76.3
51840,Winchester city,48.39035969473217,10.83224111143966,34.3082575955977,285.25,Virginia,2020,27936.0,-181.0,55908.0,69.10000000000001
53001,Adams County,32.54142702566304,9.023242980331768,57.54822288138001,294.25,Washington,2020,20961.0,121.0,57405.0,68.2
53003,Asotin County,40.86363937903354,7.96759795299227,53.78289096296176,213.25,Washington,2020,22508.0,136.0,56438.0,67.10000000000001
53005,Benton County,37.31892771941069,9.68805408893872,54.63166638730015,1949.0,Washington,2020,212791.0,1692.0,77339.0,91.9
53007,Chelan County,33.77907205877634,9.69925247418217,56.50820193358564,700.0,Washington,2020,79926.0,223.0,64700.0,76.9
53009,Clallam County,32.36188331541073,7.338686609559597,55.00165067539894,615.25,Washington,2020,77805.0,51.0,62623.0,74.4
53011,Clark County,42.2065990394436,10.13857858858019,46.95566466919652,4029.75,Washington,2020,516779.0,3479.0,83790.0,99.60000000000001
53013,Columbia County,35.546558990806346,9.409475145917678,64.33282051282052,41.25,Washington,2020,4026.0,49.0,59650.0,70.9
53015,Cowlitz County,23.14001042569412,5.651899521716887,59.05271042245342,921.5,Washington,2020,111956.0,664.0,70104.0,83.30000000000001
53017,Douglas County,27.335906488036084,7.982598378725629,59.12330916324911,267.5,Washington,2020,44192.0,267.0,64932.0,77.2
53019,Ferry County,24.55978012050512,4.146493135443135,85.2052591052591,76.5,Washington,2020,7448.0,230.0,50565.0,60.1
53021,Franklin County,32.738521416222504,10.60684720723971,48.7850825637273,672.25,Washington,2020,98678.0,-358.0,79532.0,94.5
53023,Garfield County,51.019676535087726,7.644905656604747,40.40185758513932,29.5,Washington,2020,2363.0,20.0,61268.0,72.8
53025,Grant County,33.37695187899601,9.53825899715759,59.02667976161316,768.75,Washington,2020,101311.0,442.0,61815.0,73.5
53027,Grays Harbor County,26.953594727942548,5.64578895650365,65.05937148517293,568.25,Washington,2020,77038.0,682.0,55018.0,65.4
53029,Island County,28.007384778071696,8.43795251764615,63.62934865139057,1174.5,Washington,2020,86625.0,-738.0,76729.0,91.2
53031,Jefferson County,23.53310663122544,6.451553956292515,78.87702839967801,423.25,Washington,2020,33589.0,329.0,61548.0,73.10000000000001
53033,King County,82.24872594859524,18.159599518541565,38.39372694493839,36326.75,Washington,2020,2266789.0,7311.0,110351.0,131.1
53035,Kitsap County,34.56850651240872,7.109963498812823,59.30924120015468,2420.5,Washington,2020,277673.0,1077.0,86826.0,103.2
53037,Kittitas County,33.42074305896847,8.444368388751322,54.223575366422025,616.0,Washington,2020,45189.0,495.0,62721.0,74.5
53039,Klickitat County,22.16225094744941,6.302851313977754,74.80453108422967,237.75,Washington,2020,23271.0,165.0,61542.0,73.10000000000001
53041,Lewis County,28.85810096389612,6.924943659161389,64.22618225329225,949.75,Washington,2020,85370.0,1031.0,63828.0,75.8
53043,Lincoln County,46.25415713859205,14.970648980169733,46.63301263208979,262.25,Washington,2020,11601.0,357.0,64692.0,76.9
53045,Mason County,23.168172544232604,5.321228595301707,78.7467787438662,519.25,Washington,2020,68166.0,1127.0,73696.0,87.60000000000001
53047,Okanogan County,29.413088119231247,8.983149162050086,56.9312634411439,310.25,Washington,2020,43127.0,514.0,55233.0,65.60000000000001
53049,Pacific County,31.691372710896765,6.635332037312256,56.87703940083615,269.25,Washington,2020,24113.0,353.0,58715.0,69.8
53051,Pend Oreille County,13.452585419923697,3.2133776007278536,148.02506739513998,153.5,Washington,2020,14179.0,358.0,55060.0,65.4
53053,Pierce County,53.42997968923099,12.095895462322636,40.69138129980296,7587.25,Washington,2020,927380.0,-2071.0,85492.0,101.6
53055,San Juan County,44.445258740503085,9.95113033341012,50.685360466876425,453.75,Washington,2020,18662.0,105.0,71678.0,85.2
