COUNTY NAME (SHORT),COUNTY NAME (FULL),WOODARD NATION NAME,STATE NAME
Grayson,Grayson County,GREATER APPALACHIA,Texas
Greene,Greene County,GREATER APPALACHIA,Pennsylvania
Ellis,Ellis County,THE FAR WEST,Kansas
Hale,Hale County,DEEP SOUTH,Alabama
Perry,Perry County,DEEP SOUTH,Alabama
Colbert,Colbert County,GREATER APPALACHIA,Alabama
Pratt,Pratt County,THE MIDLANDS,Kansas
Bourbon,Bourbon County,GREATER APPALACHIA,Kentucky
Rutherford,Rutherford County,GREATER APPALACHIA,Tennessee
Cook,Cook County,DEEP SOUTH,Georgia
Lane,Lane County,THE FAR WEST,Kansas
Harper,Harper County,THE MIDLANDS,Oklahoma
Piatt,Piatt County,GREATER APPALACHIA,Illinois
Crosby,Crosby County,GREATER APPALACHIA,Texas
Greene,Greene County,DEEP SOUTH,Alabama
Clark,Clark County,THE FAR WEST,Idaho
Kossuth,Kossuth County,YANKEEDOM,Iowa
Burke,Burke County,THE FAR WEST,North Dakota
Durham,Durham County,TIDEWATER,North Carolina
Harrison,Harrison County,THE MIDLANDS,Iowa
Keya Paha,Keya Paha County,THE FAR WEST,Nebraska
Webster,Webster County,THE MIDLANDS,Iowa
Pope,Pope County,GREATER APPALACHIA,Illinois
Smith,Smith County,GREATER APPALACHIA,Tennessee
Henry,Henry County,GREATER APPALACHIA,Virginia
Alexandria,Alexandria city,TIDEWATER,Virginia
Jefferson,Jefferson County,THE MIDLANDS,Iowa
Lewis and Clark,Lewis and Clark County,THE FAR WEST,Montana
Duchesne,Duchesne County,THE FAR WEST,Utah
Alfalfa,Alfalfa County,THE MIDLANDS,Oklahoma
Delta,Delta County,GREATER APPALACHIA,Texas
Trousdale,Trousdale County,GREATER APPALACHIA,Tennessee
Perry,Perry County,GREATER APPALACHIA,Kentucky
Deuel,Deuel County,YANKEEDOM,South Dakota
Jackson,Jackson County,THE LEFT COAST,Oregon
Zavala,Zavala County,EL NORTE,Texas
Banner,Banner County,THE FAR WEST,Nebraska
Madison,Madison County,THE MIDLANDS,Iowa
Broward,Broward County,PART OF THE SPANISH CARIBBEAN,Florida
Toombs,Toombs County,DEEP SOUTH,Georgia
Sanilac,Sanilac County,YANKEEDOM,Michigan
Rockwall,Rockwall County,GREATER APPALACHIA,Texas
Wayne,Wayne County,YANKEEDOM,Michigan
Nobles,Nobles County,YANKEEDOM,Minnesota
Aitkin,Aitkin County,YANKEEDOM,Minnesota
Ramsey,Ramsey County,YANKEEDOM,North Dakota
Person,Person County,TIDEWATER,North Carolina
Trego,Trego County,THE FAR WEST,Kansas
Washington,Washington County,DEEP SOUTH,Mississippi
Eastland,Eastland County,GREATER APPALACHIA,Texas
Issaquena,Issaquena County,DEEP SOUTH,Mississippi
DeWitt,DeWitt County,EL NORTE,Texas
Angelina,Angelina County,DEEP SOUTH,Texas
Saluda,Saluda County,DEEP SOUTH,South Carolina
Maries,Maries County,GREATER APPALACHIA,Missouri
Arkansas,Arkansas County,DEEP SOUTH,Arkansas
Lawrence,Lawrence County,GREATER APPALACHIA,Missouri
Charlottesville,Charlottesville city,TIDEWATER,Virginia
Bureau,Bureau County,THE MIDLANDS,Illinois
Scioto,Scioto County,GREATER APPALACHIA,Ohio
Madison,Madison County,GREATER APPALACHIA,North Carolina
Jerome,Jerome County,THE FAR WEST,Idaho
Vinton,Vinton County,GREATER APPALACHIA,Ohio
McLennan,McLennan County,DEEP SOUTH,Texas
Custer,Custer County,THE FAR WEST,Idaho
Howard,Howard County,YANKEEDOM,Iowa
Palm Beach,Palm Beach County,PART OF THE SPANISH CARIBBEAN,Florida
Lincoln,Lincoln County,DEEP SOUTH,Georgia
Butler,Butler County,DEEP SOUTH,Alabama
Sumner,Sumner County,GREATER APPALACHIA,Tennessee
King and Queen,King and Queen County,TIDEWATER,Virginia
Carroll,Carroll County,GREATER APPALACHIA,Arkansas
Waynesboro,Waynesboro city,GREATER APPALACHIA,Virginia
Multnomah,Multnomah County,THE LEFT COAST,Oregon
Grundy,Grundy County,GREATER APPALACHIA,Tennessee
