GEOID,NAMELSAD,avg_d_mbps_wt,avg_u_mbps_wt,avg_lat_ms_wt,tests,State,Year,POP_ESTIMATE_2022,NET_MIG_2022,Median_Household_Income_2021,Med_HH_Income_Percent_of_State_Total_2021
1073,Jefferson County,113.32774762831444,38.98451506572869,23.96382596,46985,Alabama,2019,665409,-3791,55210,102.3
1075,Lamar County,31.54649759360786,5.6866172985019965,102.81515389716274,477.75,Alabama,2019,13705,51,44265,82
1077,Lauderdale County,67.66149729384952,33.23064693730791,52.51732741977527,3928,Alabama,2019,95878,1401,52222,96.7
1079,Lawrence County,48.13816942127016,7.766948649310613,72.19657681998294,710.75,Alabama,2019,33214,274,55555,102.9
1081,Lee County,92.32246311506968,39.56628055,24.229676038034643,10994,Alabama,2019,180773,2608,54188,100.4
1083,Limestone County,113.03229692300368,61.57815053491655,33.07598855216044,7862.25,Alabama,2019,110900,3325,69207,128.2
1085,Lowndes County,23.71086343307033,7.789219970870331,128.43784939980117,191.75,Alabama,2019,9777,-93,36993,68.5
1087,Macon County,60.68529773480367,7.195282383975133,131.96396262089473,288.5,Alabama,2019,18516,-283,35354,65.5
1089,Madison County,119.30286449026772,78.60086632729481,25.83068055804221,34078.25,Alabama,2019,403565,6387,78386,145.2
1091,Marengo County,16.74364702860267,6.801987929504935,88.36418545136503,604.5,Alabama,2019,18745,-89,42048,77.9
1093,Marion County,90.28840749421067,85.90267927696505,33.93868705449534,2167.75,Alabama,2019,29156,361,44636,82.7
1095,Marshall County,71.99092042217897,23.30494587334454,34.35780978800224,5295,Alabama,2019,99423,1028,50858,94.2
1097,Mobile County,109.59762870128222,52.40101842211386,51.60453593579541,21753.5,Alabama,2019,411411,-1213,49848,92.30000000000001
1099,Monroe County,50.45637454181873,9.363492709183394,110.62049930422008,912.5,Alabama,2019,19404,-21,40997,75.9
1101,Montgomery County,113.98997292344832,33.543209220320904,19.57893876024123,10687,Alabama,2019,226361,-861,50645,93.80000000000001
1103,Morgan County,83.11119744991164,25.22014653606626,46.17807075458156,6652,Alabama,2019,124211,1059,56340,104.4
1105,Perry County,8.692227203,2.364378551806263,164.80117966146324,46.75,Alabama,2019,8035,-219,31522,58.40000000000001
